Te ardhurat e veta,11194000
Te ardhurat tatimore,6582428
Te ardhura jo tatimore,4069000
Te mbartura nga viti 2015,542572
Transferta e pakushtëzuar,1551463
Transf. e Bashkisë viti 2016,1531459
Granti i mbartur viti 2015,20004
Totali I + II,12745463
